plant,planner,planner_arg,seed,rep,wall_s,return_sum,return_mean,steps_survived,survived,diverged,frac_diverged,plan_return_mean,optimism_gap,pred_err_1step,vel_err,yaw_rate_err,torque_rms
1.0,0.7,0.7,0,0,59.131452560424805,38.681083142757416,0.5157477752367655,75.0,0.0,0.0,0.0,0.32286425726173595,-0.19288351797502956,0.029330021868510223,0.5268214377264182,1.975786924014489,38.15466244905808
1.0,0.85,0.85,0,0,5.097606420516968,144.0494355559349,0.8002746419774162,180.0,0.0,0.0,0.0,0.6618777361578781,-0.138396905819538,0.012375090145388899,0.24685308620747592,1.2741486293056772,30.890526941564335
1.0,1.0,1.0,0,0,4.4638049602508545,113.8828597664833,0.7443324167744007,153.0,0.0,0.0,0.0,0.6933040493413022,-0.051028367433098465,0.0016623538340204984,0.33229014191021716,1.6637129339882557,34.25432057452836
1.0,1.2,1.2,0,0,4.1700475215911865,61.8616778254509,0.4450480419097187,139.0,0.0,0.0,0.0,0.25756178611714015,-0.18748625579257855,0.0162341018667971,0.5956247729524006,1.7767328951481005,39.0051910205173
1.0,1.4,1.4,0,0,0.8933219909667969,17.63991951942444,0.7349966466426849,24.0,0.0,0.0,0.0,0.5787385753963304,-0.1562580712463545,0.021415111993479986,0.3407618775963783,0.8676847047948589,33.11498968149668
1.0,2.0,2.0,0,0,1.3380951881408691,31.89500629901886,0.7973751574754715,40.0,0.0,0.0,0.0,0.7271424944584186,-0.07023266301705289,0.05021433085680772,0.2638550255447626,1.747122819814831,37.735002415971486
1.4,0.7,0.7,0,0,4.9189019203186035,125.61690318584442,0.7477196618205025,168.0,0.0,0.0,0.0,0.501302315224754,-0.24641734659574854,0.05298822939055721,0.3348614330226112,1.767355844744348,32.263378233718626
1.4,0.85,0.85,0,0,5.011011838912964,120.29745316505432,0.707632077441496,170.0,0.0,0.0,0.0,0.4809054050087576,-0.22672667243273842,0.04460733517199671,0.33882484662839596,1.7153426599195776,38.455989094638504
1.4,1.0,1.0,0,0,1.8765904903411865,47.22204911708832,0.787034151951472,60.0,0.0,0.0,0.0,0.7031594979560981,-0.08387465399537386,0.021557818865403533,0.2938065527006984,1.598411170920978,32.7254182692167
1.4,1.2,1.2,0,0,3.998553514480591,100.30330610275269,0.7375243095790639,136.0,0.0,0.0,0.0,0.5006085498068757,-0.23691575977218815,0.009031717049785786,0.3110777182121049,1.493980881128022,29.315163778760034
1.4,1.4,1.4,0,0,4.054735422134399,107.00329899787903,0.7810459780867083,137.0,0.0,0.0,0.0,0.5237700064077645,-0.2572759716789438,0.0007541039459544449,0.2402387213261023,1.007592046279868,28.595064380419178
