plant,seed,d_ret,d_steps,d_rmean,d_vel_err,prefix_T,d_prefix_rew,nom_qvel_lag1,true_qvel_lag1,nom_qvel_lag1_min,true_qvel_lag1_min,nom_hf_ratio,true_hf_ratio,nom_sat_frac,true_sat_frac,nom_act_abs,true_act_abs,nom_act_edge_frac,true_act_edge_frac
0.5,0,-170.96832019090647,-221.0,-0.022587440834779815,0.03491321718070789,35,-0.04029738903045654,0.595929754551284,0.5510284957201689,-0.009405000467317445,0.1262310412447911,0.767127012631578,0.9598312465298915,0.0,0.013849431818181818,0.4361079931259155,0.39521780610084534,0.07532467532467532,0.020241477272727272
0.5,1,-67.40874147415161,-85.0,0.026431778669186334,-0.027624512462231826,83,0.008045017719268799,0.3626065416192182,0.42539476241278557,-0.27481334835120885,-0.35759114766426114,1.4391971778480226,1.1250568961109397,0.0032858707557502738,0.003787878787878788,0.32448697090148926,0.35941609740257263,0.007667031763417305,0.01893939393939394
0.5,2,34.81808054447174,44.0,-0.027634418131125105,0.0515259441232892,55,-0.04156380891799927,0.20259428016347816,0.5579356325372514,-0.7398171120579319,0.006850708506427073,1.9362412812047565,0.7943443263564368,0.009182736455463728,0.008264462809917356,0.33383408188819885,0.3643015921115875,0.011019283746556474,0.03305785123966942
0.5,3,-66.51760387420653,-95.0,0.08042313726955153,-0.10672024429533561,52,0.031679511070251465,0.5358576696609253,0.6199725625665313,-0.13451466680767815,0.2003345060264213,0.9425275661712682,0.7036605231509008,0.0,0.0055658627087198514,0.359554648399353,0.40972551703453064,0.02972027972027972,0.029684601113172542
0.5,4,-39.39213222265244,-37.0,-0.13203308200632857,0.13242066832287613,87,-0.10710722208023071,0.5693223400724658,0.614325760737414,0.08646641729026083,0.30320226408861234,0.9163302742765742,0.7432943969012568,0.003134796238244514,0.009530791788856305,0.375002384185791,0.4226544499397278,0.018808777429467086,0.04252199413489736
0.5,5,-47.66790693998337,-69.0,0.03569374118924651,-0.05381797669038213,103,-0.030203282833099365,0.5338535598547708,0.4412792231841674,-0.009019591295966942,-0.17686164188067585,0.8300130141124126,1.09020306838891,0.01676963812886143,0.007399577167019027,0.38856062293052673,0.3835447430610657,0.03000882612533098,0.030126849894291756
0.5,6,-3.84138071537015,-1.0,-0.02018856676344083,0.029569697933308603,151,-0.02163410186767578,0.5113594029811386,0.5489543583900467,-0.1608304942613548,-0.05134959327167089,0.9399556116273248,0.7943146185117754,0.010234798314268514,0.005382775119617225,0.4077075719833374,0.3719751834869385,0.02588801926550271,0.02332535885167464
0.5,7,37.36041194200516,126.0,-0.36213548413781305,0.2724994362544252,41,0.011749982833862305,0.4060352675616512,0.19635607360614202,-0.31701905517507095,-0.6582845519992174,1.1634999061795284,1.443572195045465,0.00979858464888405,0.004434589800443459,0.4022071957588196,0.40381112694740295,0.035383777898747956,0.050997782705099776
0.5,8,-14.65325528383255,-17.0,-0.012440938050629624,-0.006038804121088648,105,-0.027219653129577637,0.5008251409591503,0.44859365602588197,0.005300599266064079,-0.20247947176221537,0.9538724742195707,0.9687883014362256,0.006926406926406926,0.0037257824143070045,0.33886635303497314,0.35488030314445496,0.030303030303030304,0.013412816691505217
0.5,9,-83.9883982539177,-114.0,0.04402171887266326,-0.02874930858394159,78,-0.03333306312561035,0.635342392976103,0.5165631592693413,0.2175837963616817,-0.11759457654737669,0.7005902225710932,0.8929690669832625,0.002331002331002331,0.017045454545454544,0.3322967290878296,0.40728649497032166,0.013986013986013986,0.02462121212121212
