plant,seed,d_ret,d_steps,d_rmean,d_vel_err,prefix_T,d_prefix_rew,nom_qvel_lag1,true_qvel_lag1,nom_qvel_lag1_min,true_qvel_lag1_min,nom_hf_ratio,true_hf_ratio,nom_sat_frac,true_sat_frac,nom_act_abs,true_act_abs,nom_act_edge_frac,true_act_edge_frac
0.5,0,0.9510259628295898,4.0,-0.1721889240401131,0.0992506095341274,10,-0.03914320468902588,0.5203193726556633,0.36539188396278366,0.17646007275347733,-0.14138020667942738,1.001134196868829,1.2494749118764883,0.0,0.0,0.17264880239963531,0.08185409009456635,0.0,0.0
0.5,1,-2.3843985199928284,-3.0,0.013606654746191826,-0.017455700039863603,7,0.015347301959991455,0.18647477534467782,0.3611856117464048,-0.27377789365253863,0.05998205484954039,1.078254326434587,1.1847881225642554,0.0,0.0,0.07036320865154266,0.08407039940357208,0.0,0.0
0.5,2,-0.8777094483375567,-1.0,-0.00486451549963518,-0.028162727369503593,10,-0.005651712417602539,0.2788105729156162,0.36396610242665073,-0.12106694546118271,0.02579062635278489,1.5110391308162658,1.330274390195584,0.0,0.0,0.1389867216348648,0.08403582125902176,0.0,0.0
0.5,3,3.2004529237747192,4.0,-0.010371237330966454,-0.006450960867934813,5,-0.003780841827392578,0.1505550344676715,-0.1639492028865939,-0.7559213542412087,-0.8701711051046823,1.533246371393692,1.2329526700093691,0.0,0.0,0.09792699664831161,0.05364466831088066,0.0,0.0
0.5,4,-0.8037659525871277,-1.0,0.0031967977682748616,-0.02350703523390829,9,-0.0019150972366333008,0.2707388182995554,0.3280862204677805,-0.3104716125318402,-0.3540745531931557,1.6017972320070684,1.0661297934170602,0.0,0.0,0.09373331815004349,0.07980342209339142,0.0,0.0
0.5,5,0.8615812063217163,1.0,0.004315310174768716,0.0701563813130964,10,0.002037227153778076,0.4820953525628959,0.31306792109460474,-0.17117552459103538,-0.1317163532162523,0.9405993577747939,1.189388709193462,0.0,0.0,0.08523734658956528,0.08615569770336151,0.0,0.0
0.5,6,-0.9883443713188171,-1.0,-0.02012434981086031,-0.0317021360790187,10,-0.05669271945953369,0.23556952574857848,0.3064794822639479,-0.20093104569480436,-0.11774466897133369,1.3945155547118653,1.033059641072496,0.0,0.0,0.08373861014842987,0.08061379194259644,0.0,0.0
0.5,7,-3.395893156528471,-4.0,-0.007370542396198609,-0.021307627440660004,7,-0.011877477169036865,0.08345955582312206,0.3647814382962604,-0.6272690865699376,-0.3840188836069096,1.2133489373533413,1.431843977375941,0.0,0.0,0.08495689183473587,0.07190867513418198,0.0,0.0
0.5,8,1.6123669743537903,2.0,-0.0063192471861839294,0.04709460996091361,8,-0.0005730986595153809,0.4065230473512473,0.23183650583077672,-0.12217786787094008,-0.2052140107302696,0.940648586269866,1.2432142926341985,0.0,0.0,0.07785896211862564,0.06747590750455856,0.0,0.0
0.5,9,-2.438228189945221,-3.0,0.006502875023417953,-0.0571714334396852,9,-0.008985161781311035,0.3019662215984994,0.24691594276294404,-0.3234809479217313,-0.2935265984557457,1.7122350833903914,1.2654251327974226,0.0,0.0,0.09652935713529587,0.08165960013866425,0.0,0.0
0.5,10,0.7011290788650513,1.0,-0.012058259381188319,-0.0453882089091672,9,0.015228271484375,0.2537719906602965,0.4483441316885861,-0.16308650239342973,0.014203776072844603,1.5021041183925903,1.1975307505420991,0.0,0.0,0.0998455286026001,0.07294429838657379,0.0,0.0
0.5,11,0.07517248392105103,0.0,0.006833862174640992,0.017893101004037015,11,0.006833851337432861,0.3332413969534213,0.4116587258284834,-0.7848606763168192,0.01711166301116754,0.849974075518218,0.8635740234510756,0.0,0.0,0.1366245299577713,0.06845410913228989,0.0,0.0
0.5,12,-3.8974318504333496,-5.0,0.016423322757085135,-0.020891663183768616,10,-0.010129570960998535,0.4001689934402751,0.18470206382861,0.04888472985563583,-0.7896709280081997,1.075593102462644,1.1609302374251689,0.0,0.0,0.11758323013782501,0.08219877630472183,0.0,0.0
0.5,13,3.272461950778961,4.0,0.006023198366165161,-0.02089674696326249,6,0.027409076690673828,0.3679328326322137,-0.11538242673302689,-0.12558848187413876,-0.40854073824548837,1.6319145015474998,1.9646817548557176,0.0,0.0,0.15025626122951508,0.06581339240074158,0.0,0.0
0.5,14,1.6425942778587341,2.0,-0.0026798292994498762,0.03926767390221361,8,-0.0002650618553161621,0.23879415619496672,0.32349047259035246,-0.8754228470622029,-0.30080967228714556,0.9182941225971261,1.1864702547148218,0.0,0.0,0.06287838518619537,0.07359400391578674,0.0,0.0
0.5,15,-0.277787446975708,-2.0,0.08749324083328247,-0.017614413751289304,14,0.05223512649536133,0.5393595708532547,0.3240957319554706,0.17978175340652872,-0.2760784876236075,1.1508563394521527,1.121668832136959,0.0,0.0,0.07046282291412354,0.11306294798851013,0.0,0.0
0.6,0,0.7072595953941345,1.0,-0.015063496099578022,0.03348702213002572,8,-0.014881551265716553,0.38915427907173966,0.17296924162320193,-0.2225226870877406,-0.22475184734715606,1.058903997862557,1.2316648760403313,0.0,0.0,0.06955190002918243,0.062051888555288315,0.0,0.0
0.6,1,2.2363888025283813,3.0,-0.015150110920270299,0.03227657160411282,12,0.015328824520111084,0.43681864512605595,0.4543836360741775,-0.2870033683891734,-0.022548287690223077,0.9178083268558964,0.9766630089630237,0.0,0.0,0.12941159307956696,0.08531027287244797,0.0,0.0
0.6,2,0.8088358044624329,1.0,-0.0025272021691004065,0.0353331014307009,8,-0.002073824405670166,0.35392079684334504,0.22151042180746927,-0.03611260824310792,-0.17936433225401263,1.1443122590405408,1.1768641997559224,0.0,0.0,0.0847034901380539,0.072435162961483,0.0,0.0
0.6,3,-3.5969159007072466,-4.0,-0.021549350685543534,0.017212792339487998,9,-0.00036650896072387695,0.2706596254746522,0.44641177949173033,-0.1575130260172452,0.18382951673088435,1.1294772298937437,1.0562740074696657,0.0,0.0,0.05716076120734215,0.075653076171875,0.0,0.0
0.6,4,-2.469984769821167,-3.0,0.004187737061427277,-0.007255172328307108,10,-0.00020074844360351562,0.30751273899667936,0.20674665820109028,-0.3000247371672876,-0.2723562372390241,1.0079422769315218,1.2635691616218994,0.0,0.0,0.0728238970041275,0.07965770363807678,0.0,0.0
0.6,5,0.9047519564628601,1.0,0.007505877150429607,-0.020904093898005016,9,0.010119438171386719,0.3114890721888637,0.32451700253341814,-0.07303897049754163,-0.10069725077265407,1.529132170115416,1.1703004183975965,0.0,0.0,0.08048861473798752,0.06506233662366867,0.0,0.0
0.6,6,-0.01912456750869751,0.0,-0.0021249519454108468,0.0234141424298287,9,-0.002124965190887451,0.35579005679901754,0.2728455543764224,-0.026196127967305933,-0.18248436970108295,1.153181116445012,1.056739777731107,0.0,0.0,0.07613419741392136,0.05421140789985657,0.0,0.0
0.6,7,2.5503960251808167,3.0,0.004209608226627526,0.004395900415135712,11,0.01739293336868286,0.322852814365854,0.34919575490754884,-0.17781558579857104,-0.1515874162905135,1.2118606234614018,1.0001888533350676,0.0,0.0,0.09263654798269272,0.08307790011167526,0.0,0.0
0.6,8,-2.5872560143470764,-3.0,-0.014471428261862873,0.004365366780095609,6,-0.004627704620361328,0.1828147682282255,0.3880442111164154,-0.13062591075316118,0.043116939411005056,1.2440369984918778,1.1287772564036427,0.0,0.0,0.06788481026887894,0.06611849367618561,0.0,0.0
0.6,9,-2.6525641679763794,-3.0,-0.022549258338080524,0.023929230454895284,6,-0.014108896255493164,0.2052118907928894,0.369237259507679,-0.11991807650479609,-0.1771805313288408,1.1743578671480754,1.0533772947111173,0.0,0.0,0.06506368517875671,0.05806201696395874,0.0,0.0
0.6,10,-1.7145166397094709,-2.0,-0.004375266306328118,0.0020866567889848975,9,-0.006187021732330322,0.32385273089393773,0.47701377977853154,-0.2512616380322739,0.04590678013681103,1.018618858807523,0.9028972766589427,0.0,0.0,0.08689854294061661,0.07861440628767014,0.0,0.0
0.6,11,-1.737684190273284,-2.0,-0.014290273189544678,0.027020383005340876,6,-0.005866825580596924,0.19846164964207305,0.2701557606985832,-0.12722163568678233,-0.3656101770142049,1.1864211044471205,1.0971792814155055,0.0,0.0,0.06724467873573303,0.061691924929618835,0.0,0.0
0.6,12,2.548704504966736,3.0,0.007250058650970503,0.0413717770682914,7,0.0008068084716796875,0.4134871558851476,0.15912328290244296,0.10319599595850507,-0.34040868843259875,1.2214547737001964,1.0666306619712214,0.0,0.0,0.08373444527387619,0.05789145454764366,0.0,0.0
0.6,13,-1.705212652683258,-2.0,-0.006260984473758224,-0.012804067856262702,7,-0.004860043525695801,0.21844012593162265,0.3199506265474042,-0.008553144160678273,-0.04364503197759272,1.120074653015564,1.187170566391399,0.0,0.0,0.07424528151750565,0.07130212336778641,0.0,0.0
0.6,14,-0.8776925206184378,-1.0,-0.005165859229034897,0.0031285740228162995,8,-0.005012392997741699,0.2807425067071665,0.40462878909566535,-0.09260948788791581,0.010170677980505954,1.1169884019987906,1.0523197209303565,0.0,0.0,0.07340448349714279,0.07376615703105927,0.0,0.0
