seed,plant,t,chaos,incumbent_J,oracle_J,model,spearman,J,ess,frac_gated,role
0,0.5,10,0.9043547117188424,0.7169761061668396,0.7135805562138557,0.7,0.4902978690097189,0.7128845453262329,1.1355377435684204,0.0,other
0,0.5,10,0.9043547117188424,0.7169761061668396,0.7135805562138557,1.0,0.46724091206663837,0.7402663007378578,1.350185751914978,0.0,other
0,0.5,10,0.9043547117188424,0.7169761061668396,0.7135805562138557,2.0,0.46868515881838857,0.35909887216985226,2.8317759037017822,0.0,other
0,0.5,10,0.9043547117188424,0.7169761061668396,0.7135805562138557,1.4,0.4639910899685216,0.6476708352565765,1.7854855060577393,0.0,other
0,0.5,10,0.9043547117188424,0.7169761061668396,0.7135805562138557,0.5,0.9137676895130982,0.7357784360647202,23.2105712890625,0.002928257686676372,true
0,0.5,14,0.9310767381093205,0.6231417059898376,0.6579615771770477,0.7,0.5935426068735141,0.653620071709156,2.6338517665863037,0.0,other
0,0.5,14,0.9310767381093205,0.6231417059898376,0.6579615771770477,1.0,0.5579342059774018,0.6230916008353233,1.2845338582992554,0.0,other
0,0.5,14,0.9310767381093205,0.6231417059898376,0.6579615771770477,2.0,0.5409263640907597,-0.13414453621953726,1.0877455472946167,0.0,other
0,0.5,14,0.9310767381093205,0.6231417059898376,0.6579615771770477,1.4,0.5410124845590885,0.24444349482655525,1.3211973905563354,0.0,other
0,0.5,14,0.9310767381093205,0.6231417059898376,0.6579615771770477,0.5,0.936517260115458,0.623044990003109,37.162960052490234,0.0014641288433382416,true
0,0.5,18,0.9016730155487538,0.5921323299407959,0.5876342728734016,0.7,0.5588239997848214,0.5545864477753639,1.1500588655471802,0.0,other
0,0.5,18,0.9016730155487538,0.5921323299407959,0.5876342728734016,1.0,0.5385381632574494,-1.0883654057979584,1.0163565874099731,0.0,other
0,0.5,18,0.9016730155487538,0.5921323299407959,0.5876342728734016,2.0,0.5025313650112309,0.538767552934587,2.104231834411621,0.0,other
0,0.5,18,0.9016730155487538,0.5921323299407959,0.5876342728734016,1.4,0.5083197134159239,-1.0614227950572968,1.0096975564956665,0.0,other
0,0.5,18,0.9016730155487538,0.5921323299407959,0.5876342728734016,0.5,0.9062526628991293,0.5894598513841629,48.12275314331055,0.0014641288433382416,true
0,0.5,22,0.873137952019585,0.4430463910102844,0.5020674467086792,0.7,0.618268067979462,0.45620928704738617,1.9096962213516235,0.0,other
0,0.5,22,0.873137952019585,0.4430463910102844,0.5020674467086792,1.0,0.605005793337865,-0.36215872317552567,1.0655659437179565,0.0,other
0,0.5,22,0.873137952019585,0.4430463910102844,0.5020674467086792,2.0,0.586310386945992,-0.12830500584095716,2.09559965133667,0.0,other
0,0.5,22,0.873137952019585,0.4430463910102844,0.5020674467086792,1.4,0.6019334366946049,0.5435154587030411,2.5246286392211914,0.0,other
0,0.5,22,0.873137952019585,0.4430463910102844,0.5020674467086792,0.5,0.8953059588215606,0.46914178878068924,21.34010124206543,0.0009760858955587537,true
0,0.5,26,0.9112599495558716,0.2883331775665283,0.3705977573990822,0.7,0.6175752352744815,0.4303463585674763,2.0240211486816406,0.0,other
0,0.5,26,0.9112599495558716,0.2883331775665283,0.3705977573990822,1.0,0.6051127462515424,0.29997333022765815,3.0982844829559326,0.0,other
0,0.5,26,0.9112599495558716,0.2883331775665283,0.3705977573990822,2.0,0.582598431374573,0.2511971518397331,2.6812524795532227,0.0,other
0,0.5,26,0.9112599495558716,0.2883331775665283,0.3705977573990822,1.4,0.593807624408444,0.17895562248304486,1.5838550329208374,0.0,other
0,0.5,26,0.9112599495558716,0.2883331775665283,0.3705977573990822,0.5,0.9087906381964683,0.37220749258995056,10.145678520202637,0.0,true
0,0.5,30,0.8687514184881744,0.3546781539916992,0.3755117431282997,0.7,0.6696294790673695,-0.3151734210550785,1.005631446838379,0.0,other
0,0.5,30,0.8687514184881744,0.3546781539916992,0.3755117431282997,1.0,0.6681331509268331,0.355015616863966,1.01571786403656,0.0,other
0,0.5,30,0.8687514184881744,0.3546781539916992,0.3755117431282997,2.0,0.6313071402115198,0.3226100951433182,1.186108112335205,0.0,other
0,0.5,30,0.8687514184881744,0.3546781539916992,0.3755117431282997,1.4,0.6426547874290717,0.3370633162558079,1.0012294054031372,0.0,other
0,0.5,30,0.8687514184881744,0.3546781539916992,0.3755117431282997,0.5,0.8762720148815807,0.250745402649045,1.8494576215744019,0.0014641288433382416,true
0,0.5,34,0.9228617252360535,0.16907969117164612,0.13200824800878763,0.7,0.5332274964417484,-0.6487137898802757,1.4589124917984009,0.0,other
0,0.5,34,0.9228617252360535,0.16907969117164612,0.13200824800878763,1.0,0.4891470260440847,0.1678254958242178,1.002458930015564,0.0,other
0,0.5,34,0.9228617252360535,0.16907969117164612,0.13200824800878763,2.0,0.48535792851104437,-0.14040219597518444,1.3020845651626587,0.0,other
0,0.5,34,0.9228617252360535,0.16907969117164612,0.13200824800878763,1.4,0.5087799196558476,0.155504216440022,1.0067553520202637,0.0,other
0,0.5,34,0.9228617252360535,0.16907969117164612,0.13200824800878763,0.5,0.9265712814941556,0.25510571897029877,5.674529552459717,0.0014641288433382416,true
